vehicle_id,vehicle_license_plate,vehicle_type,vehicle_fuel,vehicle_model,vehicle_chassis_year
1101,57-CV-08,articulated,CNG,MAN Lion's City G CNG,2007
1102,60-CX-76,articulated,CNG,MAN Lion's City G CNG,2007
1103,57-CV-09,articulated,CNG,MAN Lion's City G CNG,2007
1104,57-CV-10,articulated,CNG,MAN Lion's City G CNG,2007
1105,57-CV-11,articulated,CNG,MAN Lion's City G CNG,2007
1106,57-CV-12,articulated,CNG,MAN Lion's City G CNG,2007
1107,57-CV-13,articulated,CNG,MAN Lion's City G CNG,2007
1108,57-CV-14,articulated,CNG,MAN Lion's City G CNG,2007
1109,57-CV-15,articulated,CNG,MAN Lion's City G CNG,2007
1110,57-CV-16,articulated,CNG,MAN Lion's City G CNG,2007
1111,57-CV-17,articulated,CNG,MAN Lion's City G CNG,2007
1112,57-CV-18,articulated,CNG,MAN Lion's City G CNG,2007
1113,60-CX-77,articulated,CNG,MAN Lion's City G CNG,2007
1114,57-CV-19,articulated,CNG,MAN Lion's City G CNG,2007
1115,57-CV-20,articulated,CNG,MAN Lion's City G CNG,2007
1116,57-CV-21,articulated,CNG,MAN Lion's City G CNG,2007
1117,57-CV-22,articulated,CNG,MAN Lion's City G CNG,2007
1118,60-CX-78,articulated,CNG,MAN Lion's City G CNG,2007
1119,60-CX-79,articulated,CNG,MAN Lion's City G CNG,2007
1120,60-CX-80,articulated,CNG,MAN Lion's City G CNG,2007
1121,60-CX-81,articulated,CNG,MAN Lion's City G CNG,2007
1122,60-CX-82,articulated,CNG,MAN Lion's City G CNG,2007
1123,60-CX-83,articulated,CNG,MAN Lion's City G CNG,2007
1124,60-CX-84,articulated,CNG,MAN Lion's City G CNG,2007
1125,60-CX-85,articulated,CNG,MAN Lion's City G CNG,2007
1126,60-CX-86,articulated,CNG,MAN Lion's City G CNG,2007
1128,60-CX-88,articulated,CNG,MAN Lion's City G CNG,2007
1129,60-CX-89,articulated,CNG,MAN Lion's City G CNG,2007
1130,60-CX-90,articulated,CNG,MAN Lion's City G CNG,2007
1201,87-IG-81,articulated,diesel,Volvo B9LA,2009
1202,15-IS-43,articulated,diesel,Volvo B9LA,2010
1203,15-IS-44,articulated,diesel,Volvo B9LA,2010
1204,15-IS-45,articulated,diesel,Volvo B9LA,2010
1205,15-IS-46,articulated,diesel,Volvo B9LA,2010
1206,15-IS-47,articulated,diesel,Volvo B9LA,2010
1207,15-IS-48,articulated,diesel,Volvo B9LA,2010
1208,15-IS-49,articulated,diesel,Volvo B9LA,2010
1209,15-IS-50,articulated,diesel,Volvo B9LA,2010
1210,15-IS-51,articulated,diesel,Volvo B9LA,2010
1211,15-IS-52,articulated,diesel,Volvo B9LA,2010
1212,15-IS-53,articulated,diesel,Volvo B9LA,2010
1213,15-IS-54,articulated,diesel,Volvo B9LA,2010
1214,15-IS-55,articulated,diesel,Volvo B9LA,2010
1215,15-IS-56,articulated,diesel,Volvo B9LA,2010
1216,15-IS-57,articulated,diesel,Volvo B9LA,2010
1217,15-IS-58,articulated,diesel,Volvo B9LA,2010
1218,15-IS-59,articulated,diesel,Volvo B9LA,2010
1219,15-IS-60,articulated,diesel,Volvo B9LA,2010
1220,15-IS-61,articulated,diesel,Volvo B9LA,2010
1301,74-UN-93,standard,electric,Caetano CBN006e,2018
1302,09-UP-22,standard,electric,Caetano CBN006e,2018
1303,10-UP-40,standard,electric,Caetano CBN006e,2018
1304,81-UV-92,standard,electric,Caetano CBN006e,2018
1305,99-UV-06,standard,electric,Caetano CBN006e,2018
1306,97-UV-39,standard,electric,Caetano CBN006e,2018
1307,03-VE-86,standard,electric,Caetano CBN006e,2018
1308,01-VE-64,standard,electric,Caetano CBN006e,2018
1309,03-VE-59,standard,electric,Caetano CBN006e,2018
1310,25-VM-29,standard,electric,Caetano CBN006e,2018
1311,56-VM-20,standard,electric,Caetano CBN006e,2018
1312,53-VM-74,standard,electric,Caetano CBN006e,2018
1313,09-VR-98,standard,electric,Caetano CBN006e,2018
1314,10-VR-00,standard,electric,Caetano CBN006e,2018
1315,09-VR-89,standard,electric,Caetano CBN006e,2018
1321,AJ-57-VV,standard,electric,Zhongtong LCK6126,2021
1322,AJ-90-VV,standard,electric,Zhongtong LCK6126,2021
1323,AJ-08-VZ,standard,electric,Zhongtong LCK6126,2021
1324,AJ-51-XX,standard,electric,Zhongtong LCK6126,2021
1325,AL-81-HG,standard,electric,Zhongtong LCK6126,2021
1331,??-??-??,standard,electric,Zhongtong,2023
1332,??-??-??,standard,electric,Zhongtong,2023
1333,BF-39-UL,standard,electric,Zhongtong,2023
1334,BF-87-UJ,standard,electric,Zhongtong,2023
1335,BF-05-TQ,standard,electric,Zhongtong,2023
1336,BF-08-UN,standard,electric,Zhongtong,2023
1337,BF-46-UM,standard,electric,Zhongtong,2023
1338,BF-97-UP,standard,electric,Zhongtong,2023
1339,BF-80-UJ,standard,electric,Zhongtong,2023
1340,BF-74-UM,standard,electric,Zhongtong,2023
1341,BF-89-UP,standard,electric,Zhongtong,2023
1342,BF-61-UL,standard,electric,Zhongtong,2023
1343,BF-07-UO,standard,electric,Zhongtong,2023
1344,BF-34-TP,standard,electric,Zhongtong,2023
1345,BF-30-TP,standard,electric,Zhongtong,2023
1346,BF-98-UN,standard,electric,Zhongtong,2023
1347,BF-53-UP,standard,electric,Zhongtong,2023
