agency_id,route_id,route_short_name,route_type,route_long_name,route_url,route_color,route_text_color,route_sort_order
STCP,35,205,3,Campanhã-castelo Do Queijo,http://www.stcp.pt/pt/viajar/linhas/?linha=205,187EC2,FFFFFF,1
STCP,38,200,3,Bolhão - Cast.queijo,http://www.stcp.pt/pt/viajar/linhas/?linha=200,187EC2,FFFFFF,2
STCP,66,66,3,Queima Das Fitas (baixa),http://www.stcp.pt/pt/viajar/linhas/?linha=66,187EC2,FFFFFF,3
STCP,67,67,3,Queima Das Fitas (h.s.joão),http://www.stcp.pt/pt/viajar/linhas/?linha=67,187EC2,FFFFFF,4
STCP,200,200,3,Bolhão - Cast.queijo,http://www.stcp.pt/pt/viajar/linhas/?linha=200,187EC2,FFFFFF,5
STCP,201,201,3,Aliados-viso,http://www.stcp.pt/pt/viajar/linhas/?linha=201,187EC2,FFFFFF,6
STCP,202,202,3,Aliados-passeio Alegre (via Av. Bessa),http://www.stcp.pt/pt/viajar/linhas/?linha=202,187EC2,FFFFFF,7
STCP,203,203,3,Estádio Do Dragão - Casa Da Música,http://www.stcp.pt/pt/viajar/linhas/?linha=203,187EC2,FFFFFF,8
STCP,204,204,3,Hospital De S.joão - Foz,http://www.stcp.pt/pt/viajar/linhas/?linha=204,187EC2,FFFFFF,9
STCP,205,205,3,Campanhã-castelo Do Queijo,http://www.stcp.pt/pt/viajar/linhas/?linha=205,187EC2,FFFFFF,10
STCP,206,206,3,Campanhã-viso,http://www.stcp.pt/pt/viajar/linhas/?linha=206,187EC2,FFFFFF,11
STCP,207,207,3,Campanhã-mercado Da Foz,http://www.stcp.pt/pt/viajar/linhas/?linha=207,187EC2,FFFFFF,12
STCP,208,208,3,Aliados-aldoar,http://www.stcp.pt/pt/viajar/linhas/?linha=208,187EC2,FFFFFF,13
STCP,209,209,3,Pasteleira-prelada,http://www.stcp.pt/pt/viajar/linhas/?linha=209,187EC2,FFFFFF,14
STCP,300,300,3,Circular Hospital De S.joão-aliados,http://www.stcp.pt/pt/viajar/linhas/?linha=300,187EC2,FFFFFF,15
STCP,301,301,3,Circular Hospital S.joão-sá Da Bandeira,http://www.stcp.pt/pt/viajar/linhas/?linha=301,187EC2,FFFFFF,16
STCP,302,302,3,Circular Aliados-damião De Gois,http://www.stcp.pt/pt/viajar/linhas/?linha=302,187EC2,FFFFFF,17
STCP,303,303,3,Circular Praça Da Liberdade-constituição,http://www.stcp.pt/pt/viajar/linhas/?linha=303,187EC2,FFFFFF,18
STCP,304,304,3,Aliados-sta. Luzia,http://www.stcp.pt/pt/viajar/linhas/?linha=304,187EC2,FFFFFF,19
STCP,305,305,3,Cordoaria-hospital De S.joão,http://www.stcp.pt/pt/viajar/linhas/?linha=305,187EC2,FFFFFF,20
STCP,400,400,3,Aliados-parque Nascente,http://www.stcp.pt/pt/viajar/linhas/?linha=400,187EC2,FFFFFF,21
