stop_lat,stop_lon,stop_id,stop_code,stop_name,zone_id,stop_url
41.254116,-8.653726,.,.,.,MAI2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=.
41.148230,-8.610760,0AAL2,0AAL2,Av. Aliados,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=0AAL2
41.148160,-8.610780,0AAL4,0AAL4,Av. Aliados,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=0AAL4
41.151940,-8.607110,0BLRB,0BLRB,Bolhão,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=0BLRB
41.145820,-8.615370,0COR1,0COR1,Cordoaria,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=0COR1
41.145820,-8.615370,0COR3,0COR3,Cordoaria,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=0COR3
41.145820,-8.615370,0COR5,0COR5,Cordoaria,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=0COR5
41.183042,-8.601187,0HSJ7,0HSJ7,Hospital S. João (urgência),PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=0HSJ7
41.182980,-8.600450,0HSJ8,0HSJ8,Hosp. S. João (circunvalação),PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=0HSJ8
41.182980,-8.600450,0HSJ9,0HSJ9,Hosp. S. João (circunvalação),PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=0HSJ9
41.151560,-8.610430,0TRD6,0TRD6,Trindade,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=0TRD6
41.149118,-8.610010,1AL6,1AL6,Av.aliados,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=1AL6
41.205692,-8.563856,1ALDG1,1ALDG1,Alameda Da Granja,MAI4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=1ALDG1
41.205557,-8.564125,1ALDG2,1ALDG2,Alameda Da Granja,MAI4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=1ALDG2
41.236432,-8.613053,1ALT2,1ALT2,Altos,MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=1ALT2
41.242393,-8.608547,1ATZ1,1ATZ1,Antunes Azevedo,MAI3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=1ATZ1
41.242423,-8.608434,1ATZ2,1ATZ2,Antunes Azevedo,MAI3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=1ATZ2
41.155925,-8.627762,1BS2,1BS2,Boavista - B.sucesso,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=1BS2
41.154520,-8.628210,1BS3,1BS3,Boavista - B.sucesso,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=1BS3
41.131652,-8.627853,1CAP1,1CAP1,Castro Portugal,VNG1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=1CAP1
41.135350,-8.625340,1DAG2,1DAG2,Dr.antónio Granjo,VNG1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=1DAG2
41.149593,-8.617603,1DBR1,1DBR1,Diogo Brandão,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=1DBR1
41.125844,-8.621550,1DCM1,1DCM1,Dr. Costa Matos,VNG1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=1DCM1
41.129731,-8.618864,1DEV1,1DEV1,Devesas,VNG1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=1DEV1
41.113362,-8.612542,1FL2,1FL2,Fernão Lopes,VNG1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=1FL2
41.134444,-8.539010,1GFE1,1GFE1,Gondomar (feira),GDM1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=1GFE1
41.193567,-8.696674,1ILEC1,1ILEC1,Igreja De Leça,MTS2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=1ILEC1
41.193808,-8.696874,1ILEC2,1ILEC2,Igreja De Leça,MTS2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=1ILEC2
41.124321,-8.618902,1JFT1,1JFT1,José Fontana,VNG1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=1JFT1
41.145883,-8.612838,1LOI3,1LOI3,Lóios,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=1LOI3
41.154309,-8.647614,1LRD1,1LRD1,Lordelo,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=1LRD1
41.212505,-8.675936,1MAVO1,1MAVO1,Monte Avó,MTS2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=1MAVO1
41.212618,-8.676052,1MAVO2,1MAVO2,Monte Avó,MTS2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=1MAVO2
41.149826,-8.619795,1MGB1,1MGB1,Miguel Bombarda,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=1MGB1
41.130435,-8.630094,1MST1,1MST1,Machado Dos Santos,VNG1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=1MST1
41.126652,-8.617411,1MZA1,1MZA1,Mouzinho Albuquerque,VNG1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=1MZA1
